Date,Open,High,Low,Close,Adj Close,Volume
28-11-2007,250,250.949997,242.5,244.125,181.125259,2927688
29-11-2007,250,250.125,238.75,241.512497,179.186935,5029688
30-11-2007,241.512497,254.5,241.512497,253.050003,187.746994,5334612
03-12-2007,254,266.5,252.600006,262.475006,194.739777,6516348
04-12-2007,262.475006,262.5,256.262512,257.424988,190.992966,1783824
05-12-2007,257.5,261.25,255.125,258.299988,191.642212,2069240
06-12-2007,260,262.924988,257.799988,258.887512,192.078094,4163452
07-12-2007,260,268.012512,256.5625,265.649994,197.095444,4805808
10-12-2007,267.524994,268.5,257.5,258.899994,192.087341,3864020
11-12-2007,262.25,262.25,256.3125,260.325012,193.144562,2907456
12-12-2007,257.049988,265,256.524994,263.350006,195.388916,3718608
13-12-2007,262.424988,265.524994,256.924988,257.399994,190.974472,4645736
14-12-2007,253.824997,263.75,253.824997,260.100006,192.977676,2720436
17-12-2007,268.100006,268.100006,251.25,253.100006,187.784073,3203328
18-12-2007,252.5,260,250.824997,251.225006,186.392899,3845860
19-12-2007,253,257.200012,252,256.125,190.028519,2671020
20-12-2007,257.375,263.487488,255.75,261.337494,193.895844,3036020
24-12-2007,270,280,262.5,277.424988,205.831711,4655664
26-12-2007,278.75,279.924988,271.537506,275.075012,204.08815,2905996
27-12-2007,276.274994,280,271.637512,277.6875,206.026489,4008568
28-12-2007,275,275,265,270.537506,200.72168,2196596
31-12-2007,270.75,274.012512,263,269.350006,199.84053,2156168
01-01-2008,269.25,269.25,263,263.637512,195.602249,928388
02-01-2008,265,265.25,257.875,262.5,194.758316,2864924
03-01-2008,257.524994,261.25,251.337494,252.762497,187.533691,5168280
04-01-2008,252.762497,255.725006,250.574997,251.300003,186.448639,2318868
07-01-2008,250,252.199997,243.125,243.899994,180.958313,3647344
08-01-2008,245,248,242.324997,246.962494,183.230484,3207732
09-01-2008,248.699997,251.5,247.475006,249.074997,184.797775,2450128
10-01-2008,249.5,252.375,240.5,245.412506,182.080444,3342376
11-01-2008,228.837494,251,228.837494,247.4375,183.582901,2149188
14-01-2008,249.949997,249.949997,238.899994,240.287506,178.278046,4158864
15-01-2008,241.25,242,233.5,235,174.355026,2935588
16-01-2008,235,241.675003,231.25,236.237503,175.273163,3131956
17-01-2008,241.449997,241.5,229.75,230.675003,171.146149,6302096
18-01-2008,232.375,235,224.274994,225.800003,167.529205,4333816
21-01-2008,226,226.175003,201.3125,207.762497,154.146545,4840032
22-01-2008,203.675003,247.5,181.25,200.0625,148.433685,6376872
23-01-2008,214.75,222.5,201.25,217.987503,162.341492,5359120
24-01-2008,217.5,222,206.4375,210.8125,156.998047,2013336
25-01-2008,213.25,224.425003,212.524994,221.149994,164.696701,2243116
28-01-2008,217.5,217.5,206.25,213.574997,159.055313,2485660
29-01-2008,214,221.149994,213.75,216.925003,161.550156,3258712
30-01-2008,220.5,223,215,217.462494,161.950439,3032856
31-01-2008,217.5,222.5,208.837494,218.4375,162.676605,5966956
01-02-2008,221.25,235.274994,218.324997,232.375,173.056213,4169520
04-02-2008,236.25,247.25,234.75,243.912506,181.648499,3730520
05-02-2008,240,243.75,233.912506,238.762497,177.813171,1722872
06-02-2008,232.5,232.5,223.625,226.524994,168.699615,4007952
07-02-2008,226.524994,226.524994,217.762497,219.762497,163.663361,2574652
08-02-2008,221,231.25,220,224.600006,167.265991,2576820
11-02-2008,224.600006,233,215.024994,226.524994,168.699615,3200988
